FIFA,OPTA,Fifa Ovr,Crossing,Finishing,ShortPassing,Dribbling,LongPassing,StandingTackle,SlidingTackle
N. Şahin,"Nuri Sahin Werder Bremen, 30, M(C) ",79,79,61,84,76,84,74,77
N. Elvedi,"Nico Elvedi Borussia M.Gladbach, 22, D(CLR) ",77,65,30,72,69,55,79,76
M. Tisserand,"Marcel Tisserand Wolfsburg, 26, D(CLR),M(R) ",74,70,56,70,66,72,74,72
Wendell,"Wendell Bayer Leverkusen, 26, D(CL),M(L) ",77,78,37,77,79,65,75,80
J. Boëtius,"Jean-Paul Boëtius Mainz 05, 25, AM(CL) ",74,70,70,69,77,67,28,25
L. Bailey,"Leon Bailey Bayer Leverkusen, 22, M(LR) ",81,77,75,75,86,66,27,18
N. Schulz,"Nico Schulz Hoffenheim, 26, D(L),M(L) ",80,83,48,78,79,70,76,77
K. Bellarabi,"Karim Bellarabi Bayer Leverkusen, 29, AM(CLR),FW ",81,76,72,78,87,58,30,33
M. Suttner,"Markus Suttner Fortuna Duesseldorf, 32, D(L),M(L) ",73,79,48,73,72,65,71,72
A. Rebić,"Ante Rebic Eintracht Frankfurt, 25, AM(CLR),FW ",79,74,79,72,83,57,50,25
J. Haberer,"Janik Haberer Freiburg, 25, M(CLR),FW ",74,63,64,77,77,70,59,58
D. Klaassen,"Davy Klaassen Werder Bremen, 26, AM(C) ",79,63,77,81,72,75,72,61
R. Khedira,"Rani Khedira Augsburg, 25, D(C),DMC ",74,42,34,77,57,67,78,72
A. Diallo,"Abdou Diallo Borussia Dortmund, 23, D(CL) ",71,12,11,34,15,25,20,12
Javi Martínez,"Javi Martínez Bayern Munich, 31, D(C),M(C) ",83,60,43,77,60,74,86,86
T. Jantschke,"Tony Jantschke Borussia M.Gladbach, 29, D(CR),DMC ",75,62,35,72,62,70,80,79
A. Hahn,"André Hahn Augsburg, 29, AM(R),FW ",73,78,76,72,64,57,56,48
E. Prib,"Edgar Prib Hannover 96, 29, D(L),M(CL) ",72,73,61,72,73,67,66,66
S. Bender,"Sven Bender Bayer Leverkusen, 30, D(C),M(C) ",81,43,39,74,58,69,86,88
J. Boateng,"Jérôme Boateng Bayern Munich, 31, D(CR) ",85,69,34,75,64,83,87,87
M. Hinteregger,"Martin Hinteregger Eintracht Frankfurt, 26, D(C) ",77,53,48,63,55,81,78,77
S. Bell,"Stefan Bell Mainz 05, 28, D(CR) ",76,43,34,66,49,66,81,71
M. Hasebe,"Makoto Hasebe Eintracht Frankfurt, 35, D(CR),M(CR) ",77,74,45,80,67,75,79,80
C. Pulisic,"Christian Pulisic Borussia Dortmund, 20, M(CLR) ",79,69,67,77,87,56,30,41
D. Upamecano,"Dayot Upamecano RasenBallsport Leipzig, 20, D(C) ",77,47,39,72,59,66,84,75
R. Knoche,"Robin Knoche Wolfsburg, 27, D(C) ",76,30,38,66,42,69,79,75
P. Bargfrede,"Philipp Bargfrede Werder Bremen, 30, D(C),M(C) ",76,60,47,74,65,74,78,74
G. Donati,"Giulio Donati Mainz 05, 29, D(R),M(R) ",73,67,33,66,65,70,76,72
E. Valentini,"Enrico Valentini Nuernberg, 30, D(R),M(R) ",71,78,55,71,72,62,67,68
D. da Costa,"Danny da Costa Eintracht Frankfurt, 26, D(R),M(R) ",77,78,39,74,73,70,77,73
Ewerton,"Ewerton Nuernberg, 30, D(C) ",74,48,30,67,59,52,75,73
M. Zimmermann,"Matthias Zimmermann Fortuna Duesseldorf, 27, D(R),DMC ",69,58,46,66,65,55,71,69
S. Kalou,"Salomon Kalou Hertha Berlin, 34, AM(CLR),FW ",79,67,82,79,87,68,38,27
Naldo,"Naldo Schalke 04, 36, D(C) ",75,30,29,65,49,60,81,79
W. McKennie,"Weston McKennie Schalke 04, 21, M(C) ",74,56,52,75,74,67,74,68
S. Posch,"Stefan Posch Hoffenheim, 22, D(C) ",69,25,23,58,28,42,75,73
D. Geiger,"Dennis Geiger Hoffenheim, 21, DMC ",70,46,38,79,72,72,47,44
D. Lukebakio,"Dodi Lukébakio Fortuna Duesseldorf, 21, AM(R),FW ",73,68,69,67,78,63,21,23
K. Ayhan,"Kaan Ayhan Fortuna Duesseldorf, 24, D(C),DMC ",75,68,35,74,64,71,76,73
K. Onisiwo,"Karim Onisiwo Mainz 05, 27, AM(LR),FW ",72,70,66,68,75,67,48,45
P. Schwegler,"Pirmin Schwegler Hannover 96, 32, M(C) ",76,71,59,80,74,78,73,73
M. Akanji,"Manuel Akanji Borussia Dortmund, 24, D(C) ",81,51,36,78,67,76,84,80
Caiuby,"Caiuby Augsburg, 31, AM(CL),FW ",77,72,73,73,74,64,24,22
J. De Guzmán,"Jonathan de Guzmán Eintracht Frankfurt, 31, M(CLR) ",76,79,68,79,78,77,54,50
P. Max,"Philipp Max Augsburg, 25, D(L),M(L) ",78,91,40,77,73,72,74,75
J. Brooks,"John Brooks Wolfsburg, 26, D(C) ",79,36,39,73,65,72,81,76
T. Baumgartl,"Timo Baumgartl VfB Stuttgart, 23, D(C) ",76,33,26,71,44,69,80,78
M. Saracchi,"Marcelo Saracchi RasenBallsport Leipzig, 21, D(L) ",75,76,64,74,73,70,70,72
Matheus Pereira,"Matheus Pereira Nuernberg, 23, AM(LR) ",76,73,73,73,82,63,37,29
Ji Dong Won,"Dong-Won Ji Augsburg, 28, AM(CLR),FW ",71,54,69,64,74,54,40,20
F. Ribéry,"Franck Ribéry Bayern Munich, 36, AM(L) ",83,80,74,83,84,74,25,26
A. Plea,"Alassane Pléa Borussia M.Gladbach, 26, AM(LR),FW ",81,78,82,76,78,68,40,30
L. Augustinsson,"Ludwig Augustinsson Werder Bremen, 25, D(L),M(L) ",77,77,55,73,73,74,76,77
M. Weiser,"Mitchell Weiser Bayer Leverkusen, 25, D(R),M(R) ",77,78,63,79,85,68,74,74
E. Bičakčić,"Ermin Bicakcic Hoffenheim, 29, D(C) ",76,38,24,63,35,59,76,74
L. Waldschmidt,"Gian-Luca Waldschmidt Freiburg, 23, AM(CR),FW ",73,59,73,74,72,56,19,18
J. Hofmann,"Jonas Hofmann Borussia M.Gladbach, 27, AM(CLR) ",79,81,69,79,80,71,44,40
D. Abraham,"David Abraham Eintracht Frankfurt, 33, D(C) ",79,44,46,73,44,75,83,78
N. Gießelmann,"Niko Gießelmann Fortuna Duesseldorf, 27, D(CL),M(L) ",73,73,45,68,64,65,72,73
E. N'Dicka,"Evan Ndicka Eintracht Frankfurt, 20, D(C) ",71,45,35,65,56,62,73,69
B. Embolo,"Breel Embolo Schalke 04, 22, AM(R),FW ",76,59,74,72,78,70,28,22
N. González,"Nicolás González VfB Stuttgart, 21, AM(L),FW ",71,65,73,62,77,50,39,35
O. Fink,"Oliver Fink Fortuna Duesseldorf, 37, M(CL) ",71,59,54,71,64,67,68,81
N. Füllkrug,"Niclas Füllkrug Hannover 96, 26, FW ",78,63,81,67,70,48,30,17
B. Raman,"Benito Raman Fortuna Duesseldorf, 24, AM(LR),FW ",73,64,70,66,76,52,20,15
B. Pavard,"Benjamin Pavard VfB Stuttgart, 23, D(CR) ",80,66,37,78,66,80,80,81
D. Kownacki,"Dawid Kownacki Fortuna Duesseldorf, 22, AM(L),FW ",70,54,72,66,66,59,18,16
H. Weydandt,"Hendrik Weydandt Hannover 96, 24, FW ",65,30,70,49,57,34,36,28
Walace,"Walace Hannover 96, 24, DMC ",74,48,58,80,67,76,64,49
C. Tolisso,"Corentin Tolisso Bayern Munich, 25, D(R),M(C) ",83,67,75,84,77,86,78,71
J. Brenet,"Joshua Brenet Hoffenheim, 25, D(LR),M(R) ",74,69,36,68,73,61,69,76
M. Ginter,"Matthias Ginter Borussia M.Gladbach, 25, D(CR),DMC ",80,68,55,75,62,70,84,77
N. Bentaleb,"Nabil Bentaleb Schalke 04, 24, M(C) ",78,65,62,80,82,76,71,60
S. Zuber,"Steven Zuber Hoffenheim, 28, D(L),M(CLR) ",76,74,63,74,78,61,73,68
K. Laimer,"Konrad Laimer RasenBallsport Leipzig, 22, D(R),M(CR) ",75,69,60,76,74,68,73,75
J. Gouweleeuw,"Jeffrey Gouweleeuw Augsburg, 28, D(C) ",79,60,46,68,60,80,82,76
E. Insúa,"Emiliano Insúa VfB Stuttgart, 30, D(L),M(L) ",76,82,49,76,74,74,75,75
L. Alario,"Lucas Alario Bayer Leverkusen, 26, FW ",79,48,84,69,75,48,27,20
W. Anton,"Waldemar Anton Hannover 96, 23, D(C),DMC ",77,42,42,71,66,69,79,76
C. Kramer,"Christoph Kramer Borussia M.Gladbach, 28, DMC ",81,61,45,80,71,72,80,76
O. Wendt,"Oscar Wendt Borussia M.Gladbach, 33, D(L),M(L) ",76,78,56,77,73,73,77,73
J. Weigl,"Julian Weigl Borussia Dortmund, 23, D(C),DMC ",79,58,41,85,74,80,78,73
M. Gregoritsch,"Michael Gregoritsch Augsburg, 25, AM(CR),FW ",79,65,80,77,75,69,40,38
J. Gbamin,"Jean-Philippe Gbamin Mainz 05, 23, D(CR),DMC ",79,69,40,78,74,74,80,71
A. Dragović,"Aleksandar Dragovic Bayer Leverkusen, 28, D(C) ",77,49,41,67,62,62,79,77
M. Richter,"Marco Richter Augsburg, 21, AM(LR) ",69,59,68,64,75,53,19,16
G. Haraguchi,"Genki Haraguchi Hannover 96, 28, M(CLR) ",75,66,61,75,84,58,46,42
D. Heintz,"Dominique Heintz Freiburg, 26, D(CL) ",77,51,23,72,58,70,81,77
A. Szalai,"Ádám Szalai Hoffenheim, 31, FW ",76,49,80,72,69,48,41,13
T. Strobl,"Tobias Strobl Borussia M.Gladbach, 29, D(CR),DMC ",77,51,30,74,59,79,79,77
D. Selke,"Davie Selke Hertha Berlin, 24, FW ",77,40,80,61,68,44,39,17
Y. Gerhardt,"Yannick Gerhardt Wolfsburg, 25, D(L),M(CL) ",74,72,71,79,74,74,73,74
D. Latza,"Danny Latza Mainz 05, 29, DMC ",77,71,33,80,71,77,71,67
M. Leckie,"Mathew Leckie Hertha Berlin, 28, AM(CLR) ",75,76,68,68,76,54,48,40
V. Ibišević,"Vedad Ibisevic Hertha Berlin, 35, FW ",77,65,80,77,72,47,29,22
K. Danso,"Kevin Danso Augsburg, 20, D(C) ",70,39,26,49,47,44,74,71
D. Ginczek,"Daniel Ginczek Wolfsburg, 28, FW ",77,31,77,63,69,37,45,19
A. Harit,"Amine Harit Schalke 04, 22, AM(CLR) ",79,69,63,78,86,75,50,32
B. Stambouli,"Benjamin Stambouli Schalke 04, 29, D(C),M(C) ",79,45,50,77,66,79,80,75
R. Hennings,"Rouwen Hennings Fortuna Duesseldorf, 32, FW ",73,61,73,64,66,56,35,34
N. Höfler,"Nicolas Höfler Freiburg, 29, D(C),DMC ",72,54,41,76,64,68,70,68
Rafinha,"Rafinha Bayern Munich, 33, D(CLR),M(R) ",82,72,73,86,87,76,74,66
Gonçalo Paciência,"Gonçalo Paciência Eintracht Frankfurt, 25, FW ",75,29,77,65,79,47,30,23
M. Niakhaté,"Moussa Niakhaté Mainz 05, 23, D(C) ",73,62,35,66,64,63,74,68
F. Neuhaus,"Florian Neuhaus Borussia M.Gladbach, 22, M(C) ",75,59,59,77,77,74,59,64
R. Quaison,"Robin Quaison Mainz 05, 25, M(CLR),FW ",74,67,70,74,77,69,57,54
A. Maier,"Arne Maier Hertha Berlin, 20, DMC ",73,63,53,78,73,72,66,45
M. Schmelzer,"Marcel Schmelzer Borussia Dortmund, 31, D(CL),M(L) ",77,73,37,74,63,63,78,80
F. Lustenberger,"Fabian Lustenberger Hertha Berlin, 31, D(C),M(C) ",76,45,32,75,61,67,82,78
R. Framberger,"Raphael Framberger Augsburg, 23, D(R) ",67,60,41,62,49,51,68,71
Gelson Fernandes,"Gelson Fernandes Eintracht Frankfurt, 33, DMC ",75,62,51,72,64,69,74,69
M. Lang,"Michael Lang Borussia M.Gladbach, 28, D(R),M(R) ",77,78,71,74,63,73,78,77
V. Grifo,"Vincenzo Grifo Freiburg, 26, AM(CL) ",77,82,72,73,83,63,31,30
D. Zakaria,"Denis Zakaria Borussia M.Gladbach, 22, DMC ",77,64,56,82,73,79,78,81
G. Margreitter,"Georg Margreitter Nuernberg, 30, D(C) ",74,35,16,60,39,55,77,74
D. Brosinski,"Daniel Brosinski Mainz 05, 31, D(LR),M(LR) ",76,78,54,71,74,73,75,75
G. Itter,"Gian-Luca Itter Wolfsburg, 20, D(L) ",67,68,40,69,70,63,68,64
R. Sallai,"Roland Sallai Freiburg, 22, AM(L) ",72,68,70,71,76,62,37,38
K. Rekik,"Karim Rekik Hertha Berlin, 24, D(CL) ",79,43,33,75,57,68,81,85
E. Löwen,"Eduard Löwen Nuernberg, 22, D(C),M(C) ",70,58,49,75,70,64,66,60
I. Traoré,"Ibrahima Traoré Borussia M.Gladbach, 31, AM(LR) ",75,43,22,65,35,65,75,74
J. Drmić,"Josip Drmic Borussia M.Gladbach, 27, AM(LR),FW ",75,70,75,73,74,63,37,40
S. Langkamp,"Sebastian Langkamp Werder Bremen, 31, D(C) ",76,32,22,64,35,57,81,78
A. Robben,"Arjen Robben Bayern Munich, 35, M(CLR),FW ",84,80,85,82,89,71,26,26
M. Russ,"Marco Russ Eintracht Frankfurt, 34, D(C),DMC ",73,30,42,67,39,65,75,73
K. Stafylidis,"Konstantinos Stafylidis Augsburg, 25, D(L),DMC,M(L) ",75,77,48,73,72,74,78,80
D. Baier,"Daniel Baier Augsburg, 35, M(C) ",79,73,52,82,74,82,75,74
R. Nelson,"Reiss Nelson Hoffenheim, 19, M(R) ",70,60,68,56,79,50,37,37
R. Koch,"Robin Koch Freiburg, 23, D(C),DMC ",72,40,27,75,56,66,73,67
N. Bungert,"Niko Bungert Mainz 05, 32, D(C) ",73,42,35,68,44,60,77,74
Koo Ja Cheol,"Ja-Cheol Koo Augsburg, 30, M(CLR) ",76,72,73,75,80,71,61,48
Omar Mascarell,"Omar Mascarell Schalke 04, 26, DMC ",78,50,53,82,75,83,76,71
M. Gulde,"Manuel Gulde Freiburg, 28, D(C) ",74,47,36,63,52,58,76,74
H. Behrens,"Hanno Behrens Nuernberg, 29, M(C) ",75,54,68,74,69,68,76,73
S. Falette,"Simon Falette Eintracht Frankfurt, 27, D(C) ",74,39,40,59,47,55,75,69
K. Adams Nuhu,"Kasim Adams Hoffenheim, 24, D(C) ",73,42,36,65,55,68,77,66
M. Gómez,"Mario Gomez VfB Stuttgart, 34, FW ",80,56,85,76,76,58,20,23
M. Veljković,"Milos Veljkovic Werder Bremen, 23, D(C),DMC ",76,39,23,72,52,73,75,73
Felipe,"Felipe Hannover 96, 32, D(C) ",75,34,20,62,44,64,80,76
L. Bittencourt,"Leonardo Bittencourt Hoffenheim, 25, AM(CLR) ",79,73,65,79,84,72,55,55
K. Karaman,"Kenan Karaman Fortuna Duesseldorf, 25, AM(CLR),FW ",72,69,72,71,74,53,24,18
J. Larsen,"Jacob Bruun Larsen Borussia Dortmund, 20, AM(L) ",74,69,74,74,75,54,55,43
C. Günter,"Christian Günter Freiburg, 26, D(L),M(L) ",75,76,38,69,72,59,75,74
J. Brekalo,"Josip Brekalo Wolfsburg, 21, AM(CLR) ",76,74,63,73,84,59,28,37
J. Dilrosun,"Javairô Dilrosun Hertha Berlin, 21, AM(L) ",70,77,70,60,73,45,48,27
P. Stenzel,"Pascal Stenzel Freiburg, 23, D(R),M(R) ",72,70,55,75,70,66,73,72
M. Sobottka,"Marcel Sobottka Fortuna Duesseldorf, 25, DMC ",72,52,58,68,63,65,72,70
C. Salcedo,"Carlos Salcedo Eintracht Frankfurt, 25, D(CR) ",76,28,22,67,58,60,79,76
M. Harnik,"Martin Harnik Werder Bremen, 32, M(LR),FW ",77,68,76,72,74,69,32,42
K. Schlotterbeck,"Keven Schlotterbeck Freiburg, 22, D(C) ",58,24,17,51,36,45,62,58
A. Morales,"Alfredo Morales Fortuna Duesseldorf, 29, M(C) ",72,61,53,74,68,70,67,68
S. Serdar,"Suat Serdar Schalke 04, 22, M(C) ",74,60,56,76,75,70,70,66
M. Dahoud,"Mahmoud Dahoud Borussia Dortmund, 23, M(C) ",80,67,60,83,85,78,64,59
A. Bodzek,"Adam Bodzek Fortuna Duesseldorf, 33, D(C),DMC ",69,49,48,66,57,65,74,70
J. Gondorf,"Jérôme Gondorf Freiburg, 31, M(CR) ",75,68,63,78,73,73,69,73
D. Didavi,"Daniel Didavi VfB Stuttgart, 29, AM(CR),FW ",80,75,80,80,81,75,59,49
R. Steffen,"Renato Steffen Wolfsburg, 27, M(LR) ",75,73,69,74,75,67,32,35
M. Nastasić,"Matija Nastasic Schalke 04, 26, D(C) ",81,46,30,73,43,69,83,87
P. Herrmann,"Patrick Herrmann Borussia M.Gladbach, 28, M(LR),FW ",77,77,65,74,79,64,26,54
B. Sosa,"Borna Sosa VfB Stuttgart, 21, D(L) ",69,73,29,71,67,63,67,66
P. Skjelbred,"Per Skjelbred Hertha Berlin, 32, M(CR) ",77,69,46,75,75,72,77,74
T. Leibold,"Tim Leibold Nuernberg, 25, D(L),M(CL) ",73,73,55,72,74,62,70,70
C. Gentner,"Christian Gentner VfB Stuttgart, 34, M(CLR) ",77,67,73,76,69,75,76,74
G. Bussmann,"Gaëtan Bussmann Mainz 05, 28, D(L) ",73,69,54,62,61,59,77,76
A. Hoffmann,"Andre Hoffmann Fortuna Duesseldorf, 26, D(C),DMC ",72,49,29,67,51,64,73,71
G. Castro,"Gonzalo Castro VfB Stuttgart, 32, M(CR) ",77,77,66,80,77,77,65,68
M. Frantz,"Mike Frantz Freiburg, 32, M(CLR),FW ",73,74,59,74,71,70,69,68
S. Ascacíbar,"Santiago Ascacibar VfB Stuttgart, 22, DMC ",78,51,39,80,64,71,80,77
O. Petrák,"Ondrej Petrák Nuernberg, 27, D(C),DMC ",70,60,30,71,63,68,72,70
L. Maina,"Linton Maina Hannover 96, 20, AM(LR) ",68,62,58,65,75,60,23,22
K. Vogt,"Kevin Vogt Hoffenheim, 27, D(CR),M(C) ",81,60,50,79,67,83,80,78
A. Schöpf,"Alessandro Schöpf Schalke 04, 25, M(CLR) ",77,76,72,75,80,62,60,50
Pablo Maffeo,"Pablo Maffeo VfB Stuttgart, 22, D(R),M(R) ",78,79,53,78,80,63,81,80
P. De Blasis,"Pablo De Blasis Mainz 05, 31, D(R),M(CLR) ",75,68,72,73,77,66,39,37
E. Rexhbeçaj,"Elvis Rexhbecaj Wolfsburg, 21, M(C) ",69,70,41,76,70,72,63,59
