Name,Rating,Fifa Ability Overall,Position,Apps,Minutes played,Assists,Yel,Red,Pass success percentage,Aerials Won per game,Man of the match,Tackles,Interceptions per game,Fouls,Offside won per game,Clearances per game,Dribbled past per game,Outfielder Block Per Game,OwnG,Goals,"Shots per
game",Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Key passes per game,Passes per game,Pass success percentage.1,Crosses,Long balls per game,Through balls per game
Ludovic Baal,6.32,73,"D(L), M(L)",1,125,0,0,0,77.0,0.0,0,2.0,1.0,0.0,0.0,0.5,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.5,1.5,0.0,37.0,77.0,0.0,2.0,0.0
Nacer Chadli,6.31,78,M(CLR),9,693,0,1,0,82.3,1.0,0,0.7,0.2,0.6,0.0,0.4,0.3,0.1,0,0,0.1,0.5,0.5,0.1,0.8,1.1,0.5,17.3,82.3,0.8,0.2,0.0
Yacine Adli,6.31,65,Midfielder,2,214,0,1,0,77.7,0.3,0,1.0,0.3,0.6,0.0,0.0,0.9,0.0,0,0,0.1,1.3,0.1,0.0,0.7,1.6,0.9,19.9,77.7,0.1,0.7,0.1
Ismaël Diomandé,6.31,72,"D(C), DMC",14,1297,1,4,1,82.5,0.8,0,1.6,0.6,1.5,0.1,2.0,0.5,0.4,0,0,0.5,0.4,1.0,0.1,0.7,0.7,0.2,32.9,82.5,0.1,3.2,0.0
Milan Gajic,6.31,71,D(R),1,90,0,0,0,85.7,2.0,0,2.0,1.0,1.0,0.0,6.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,28.0,85.7,0.0,1.0,0.0
Kevin NDoram,6.3,68,DMC,2,194,0,2,0,89.1,1.5,0,1.3,1.3,2.0,0.5,1.8,0.5,0.3,0,0,0.3,0.0,0.5,0.0,0.3,0.3,0.0,34.5,89.1,0.0,3.0,0.0
François Kamano,6.64,77,"AM(CLR), FW",29,2572,1,6,0,81.0,0.2,2,0.8,0.5,1.3,0.0,0.1,0.5,0.0,0,10,2.2,1.1,1.4,0.3,1.6,1.9,0.9,24.1,81.0,0.1,0.9,0.1
Moussa Doumbia,6.64,71,"AM(CL), FW",18,1600,1,5,0,80.0,0.6,2,1.0,0.3,1.0,0.0,0.2,1.0,0.1,0,3,1.0,1.2,2.4,0.3,1.4,2.1,0.7,21.5,80.0,0.4,0.9,0.0
Nolan Mbemba,6.29,65,Midfielder,4,355,0,0,0,80.5,1.1,0,1.8,1.3,0.4,0.0,0.5,0.4,0.1,0,0,0.5,0.5,0.6,0.0,0.6,1.3,0.1,25.0,80.5,0.1,1.3,0.0
Jordan Ikoko,6.29,73,D(LR),19,1707,0,3,0,73.5,0.4,0,1.9,1.2,0.9,0.1,1.2,0.6,0.3,0,0,0.2,0.8,1.1,0.1,1.0,1.4,0.5,28.3,73.5,0.7,1.0,0.0
Mathieu Bodmer,6.29,70,"D(C), M(C)",10,1065,0,1,0,69.6,1.6,0,0.6,0.1,0.5,0.0,0.3,0.3,0.0,0,1,0.5,0.2,0.5,0.0,0.6,0.9,0.6,24.2,69.6,0.1,1.2,0.1
Rafal Kurzawa,6.28,70,Midfielder,2,232,0,0,0,77.9,0.6,0,0.7,0.3,0.3,0.0,0.2,0.4,0.0,0,1,0.2,0.1,0.5,0.0,0.7,0.8,0.3,10.3,77.9,0.5,0.2,0.0
Assane Dioussé,6.28,72,"DMC, DMC",2,213,0,0,0,84.5,0.4,0,0.9,0.1,0.3,0.0,1.0,0.3,0.0,0,0,0.3,0.6,0.4,0.0,1.0,0.4,0.3,20.3,84.5,0.0,1.1,0.1
Florent Balmont,6.28,71,DMC,15,1083,1,3,0,84.4,0.1,0,1.5,0.3,1.1,0.0,0.4,1.4,0.1,0,0,0.3,0.2,1.0,0.0,0.5,0.7,0.9,33.3,84.4,0.6,1.7,0.0
Sofiane Diop,6.27,66,AM(C),9,742,0,1,0,71.2,0.5,0,0.9,0.6,1.4,0.0,0.2,1.1,0.0,0,0,0.8,1.1,0.8,0.1,1.7,1.8,0.6,16.8,71.2,0.1,0.8,0.0
Andrea Raggi,6.27,75,D(CLR),6,496,0,1,1,84.0,0.7,0,1.2,1.2,0.2,0.7,2.2,0.0,0.0,0,0,0.2,0.0,1.0,0.2,0.3,0.3,0.5,32.3,84.0,0.3,1.2,0.0
"Han0,00Noah Massengo",6.27,62,"M(C), M(C)",0,58,0,0,0,85.0,0.3,0,0.7,0.7,0.0,0.3,0.3,1.0,0.0,0,0,0.0,0.3,0.3,0.0,0.0,0.7,0.0,6.7,85.0,0.0,0.0,0.0
Yeni NGbakoto,6.27,70,AM(CLR),4,560,0,0,0,63.9,0.9,0,0.6,0.3,0.7,0.0,0.1,0.3,0.0,0,1,1.2,0.1,0.5,0.1,0.4,0.7,0.7,9.6,63.9,0.7,0.3,0.0
Gabriel Jesus,6.64,83,"AM(LR), FW",8,1022,3,1,0,82.6,0.5,1,0.3,0.1,0.4,0.0,0.1,0.2,0.1,0,7,1.5,0.8,0.6,0.5,1.0,1.1,0.7,12.3,82.6,0.0,0.1,0.0
Giovanni Simeone,6.64,78,"AM(R), FW",27,2459,3,2,0,68.7,1.1,1,1.2,0.1,1.3,0.0,0.3,0.6,0.1,0,6,1.8,0.7,1.6,0.4,1.7,2.8,0.8,9.3,68.7,0.1,0.1,0.1
Bongani Zungu,6.25,75,DMC,3,231,0,2,0,85.3,0.0,0,0.6,0.4,1.0,0.0,1.0,1.2,0.0,0,0,0.2,0.2,1.0,0.0,0.4,0.4,0.2,23.2,85.3,0.0,2.0,0.0
"Karl0,00Johan Johnsson",6.25,74,"GK, GK",17,1530,0,0,0,51.7,0.5,0,0.0,0.0,0.0,0.0,0.6,0.1,0.0,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,25.2,51.7,0.0,9.0,0.0
Zaydou Youssouf,6.25,69,AM(CR),7,426,0,1,0,77.1,0.5,0,0.6,0.5,0.9,0.0,0.0,0.4,0.1,0,0,0.5,0.6,1.2,0.1,1.2,1.1,0.3,15.9,77.1,0.1,0.7,0.0
Steven Fortes,6.25,69,Defender,1,136,0,0,0,86.0,2.3,0,1.0,0.7,0.3,0.0,3.0,0.0,0.3,0,0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,16.7,86.0,0.0,1.0,0.0
Lautaro Martínez,6.64,79,FW,13,1337,2,4,0,70.8,1.3,0,0.2,0.1,1.0,0.0,0.3,0.1,0.0,0,6,2.4,0.5,1.6,0.1,1.1,2.1,0.8,8.9,70.8,0.1,0.4,0.1
Aly Ndom,6.24,65,M(C),3,355,0,1,0,76.2,0.9,0,1.0,0.3,0.7,0.0,0.7,0.4,0.2,0,0,0.3,0.5,0.2,0.0,0.4,0.7,0.1,13.4,76.2,0.0,1.2,0.0
Valentin Eysseric,6.24,76,AM(CLR),3,210,0,1,0,81.1,0.2,0,0.2,0.0,1.6,0.0,0.0,0.4,0.0,0,1,1.2,0.6,1.8,0.0,0.4,1.8,1.0,18.0,81.1,0.8,0.8,0.0
Facundo Píriz,6.24,69,DMC,0,112,0,0,0,79.7,1.0,0,1.5,0.0,0.3,0.0,0.3,0.8,0.2,0,0,0.0,0.2,0.0,0.0,0.0,0.7,0.0,10.7,79.7,0.0,0.5,0.0
Rúnar Alex Rúnarsson,6.23,71,GK,25,2250,0,0,0,67.1,0.4,0,0.1,0.0,0.0,0.0,0.6,0.2,0.0,0,0,0.0,0.1,0.2,0.0,0.0,0.1,0.0,29.7,67.1,0.0,7.9,0.0
Julien Serrano,6.23,64,Defender,1,117,0,1,0,78.7,0.3,0,1.7,1.0,0.7,0.3,0.3,1.0,0.0,0,0,0.3,0.0,0.3,0.3,1.0,0.7,0.3,15.7,78.7,0.0,0.3,0.0
Pelé,6.22,75,DMC,4,449,0,0,0,83.3,0.9,0,1.0,0.4,1.1,0.0,1.1,0.5,0.1,0,0,0.4,1.0,0.9,0.0,1.1,0.9,0.3,24.8,83.3,0.0,1.3,0.0
Sheyi Ojo,6.22,67,AM(LR),3,461,0,0,0,68.7,0.3,0,0.5,0.2,0.2,0.0,0.1,0.4,0.0,0,0,0.9,0.5,0.7,0.0,0.5,0.8,0.3,5.5,68.7,0.3,0.2,0.0
Arnold Bouka Moutou,6.22,70,"D(L), M(L)",0,64,0,0,0,69.2,0.3,0,1.0,1.0,0.3,0.0,0.3,1.3,0.0,0,0,0.3,0.3,0.3,0.0,0.3,0.7,0.0,8.7,69.2,0.0,0.0,0.0
Samuel Grandsir,6.21,74,AM(LR),4,466,1,1,1,66.2,0.3,0,1.0,0.1,0.9,0.0,0.4,0.7,0.0,0,0,0.5,1.1,0.2,0.2,0.6,1.4,0.6,12.3,66.2,0.5,0.4,0.0
Robin Quaison,6.65,74,"M(CLR), FW",25,2204,3,1,0,72.9,0.9,1,0.7,0.3,1.1,0.0,0.1,0.3,0.0,0,7,1.8,0.8,0.8,0.4,2.1,1.4,0.8,15.7,72.9,0.1,0.4,0.0
Guessouma Fofana,6.2,72,DMC,2,186,0,1,0,72.7,1.0,0,2.0,1.0,1.7,0.0,0.0,0.7,0.3,0,0,0.0,0.3,0.7,0.0,0.7,0.7,0.0,18.3,72.7,0.0,1.0,0.0
Steven Moreira,6.2,72,"D(LR), M(R)",10,864,0,2,0,77.1,0.5,0,1.9,1.0,1.3,0.4,1.2,0.7,0.0,0,0,0.7,0.5,0.5,0.2,1.0,1.7,0.4,29.3,77.1,0.3,0.9,0.0
Yann Karamoh,6.65,75,"AM(R), FW",13,1224,1,2,0,77.3,0.0,0,0.3,0.3,0.5,0.0,0.1,0.5,0.0,0,3,1.6,2.0,1.2,0.2,1.7,1.8,1.2,20.8,77.3,0.9,0.5,0.1
Abdoulaye Dabo,6.2,62,Midfielder,2,118,0,0,0,86.7,0.0,0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.5,1.0,0.0,1.0,1.5,1.5,15.0,86.7,0.0,0.5,0.0
Pierrick Valdivia,6.2,68,M(C),0,29,0,0,0,91.7,0.5,0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,6.0,91.7,0.0,0.0,0.0
Samuel Grandsir,6.2,74,AM(LR),2,234,0,0,1,74.3,0.3,0,1.1,0.1,0.3,0.0,0.0,0.5,0.0,0,0,0.1,0.9,0.3,0.3,0.6,1.0,0.1,8.8,74.3,0.1,0.1,0.0
Mahdi Camara,6.19,60,"Midfielder, Midfielder",0,9,0,0,0,100.0,0.0,0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0
Maxime Dupé,6.19,69,GK,10,939,0,1,0,53.4,0.2,0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,23.8,53.4,0.0,6.9,0.0
Mickael Panos,6.19,58,"Defender, Defender",0,24,0,0,0,75.0,0.0,0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,75.0,0.0,1.0,0.0
Valentín Vada,6.19,73,M(C),0,34,0,0,0,88.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,12.5,88.0,0.0,0.0,0.0
Naldo,6.18,75,D(C),5,304,0,0,0,84.3,2.1,0,0.7,0.7,0.4,0.4,3.3,0.3,0.3,0,0,0.4,0.0,0.0,0.0,0.0,0.0,0.1,23.7,84.3,0.0,1.3,0.0
Frédéric Sammaritano,6.18,72,AM(LR),6,537,0,2,1,83.0,0.0,0,0.8,0.6,1.0,0.0,0.1,0.6,0.1,0,0,0.7,0.1,0.4,0.1,0.6,0.9,0.4,13.9,83.0,0.6,0.6,0.0
Bilal Boutobba,6.18,64,Midfielder,0,32,0,0,0,92.3,0.0,0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,1.5,1.0,1.5,0.0,0.5,0.5,0.5,6.5,92.3,0.5,0.0,0.0
Guessouma Fofana,6.17,72,DMC,4,475,0,2,0,76.6,0.7,0,1.4,0.6,1.2,0.0,0.8,0.6,0.0,0,0,0.6,0.1,0.5,0.0,0.7,0.2,0.1,12.4,76.6,0.2,0.4,0.0
Glenn Murray,6.65,77,FW,30,2513,1,5,0,58.3,4.6,3,0.4,0.1,2.1,0.1,0.4,0.4,0.1,0,13,1.4,0.2,1.4,1.0,0.9,2.2,0.3,15.9,58.3,0.0,0.2,0.0
Alexandre Olliero,6.16,63,Goalkeeper,1,90,0,0,0,73.7,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,73.7,0.0,6.0,0.0
Farid El Melali,6.16,66,Midfielder,0,310,1,1,0,77.1,0.1,0,0.4,0.3,0.3,0.0,0.0,0.5,0.0,0,0,0.4,0.4,0.4,0.0,0.8,1.0,0.2,7.3,77.1,0.1,0.3,0.1
Baissama Sankoh,6.14,67,"D(CR), M(C)",6,648,0,2,1,81.6,0.8,0,0.3,0.3,0.6,0.0,0.9,0.2,0.1,0,0,0.3,0.3,0.7,0.0,0.5,0.8,0.1,12.7,81.6,0.1,0.1,0.0
Kevin Rimane,6.14,64,"Defender, Defender",0,4,0,0,0,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,100.0,0.0,0.0,0.0
Quentin Cornette,6.14,69,AM(R),3,210,0,0,0,78.7,0.0,0,1.0,0.2,0.6,0.0,0.8,0.6,0.0,0,0,1.0,0.6,1.4,0.2,1.4,1.6,0.0,12.2,78.7,0.4,0.0,0.0
"Georges0,00Kévin Nkoudou",6.14,75,"AM(LR), AM(LR)",0,21,0,0,0,72.7,0.0,0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3,0.3,1.0,0.0,0.0,1.0,0.0,3.7,72.7,0.0,0.3,0.0
Grégory Sertic,6.14,73,"D(C), M(C)",1,107,0,1,0,77.0,0.8,0,0.5,0.3,0.8,0.0,0.5,0.3,0.3,0,0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,18.5,77.0,0.0,1.5,0.0
Pedro Brazao,6.13,82,Midfielder,0,13,0,0,0,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,100.0,1.0,0.0,0.0
Ihsan Sacko,6.13,71,AM(L),4,441,1,0,1,80.4,0.3,0,0.5,0.2,0.9,0.0,0.2,0.2,0.0,0,0,0.5,0.2,0.5,0.3,0.6,1.6,0.4,7.8,80.4,0.1,0.1,0.0
Denis Poha,6.13,68,Midfielder,0,27,0,0,0,76.9,0.0,0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,76.9,0.0,1.0,0.0
João Pedro,6.65,76,"AM(C), FW",30,2571,2,4,1,74.5,2.1,1,0.5,0.2,1.4,0.0,0.4,0.2,0.1,0,7,1.8,0.6,1.6,0.3,1.2,1.7,1.0,21.6,74.5,0.5,0.6,0.0
Gerzino Nyamsi,6.12,60,D(C),6,539,0,0,1,87.0,2.6,0,0.8,0.5,1.5,0.4,2.0,0.6,0.5,0,0,0.0,0.3,0.3,0.0,0.4,0.8,0.0,30.8,87.0,0.0,1.9,0.0
Yoan Cardinale,6.12,75,GK,3,270,0,0,0,98.4,0.3,0,0.3,0.0,0.0,0.0,0.7,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,98.4,0.0,1.3,0.0
Koffi Djidji,6.1,74,D(CL),1,90,0,0,0,83.3,0.0,0,1.0,1.0,0.0,2.0,3.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,54.0,83.3,0.0,5.0,0.0
Riccardo Meggiorini,6.65,74,FW,18,1550,1,6,0,64.7,4.0,1,0.8,0.3,1.4,0.0,1.1,0.4,0.1,0,3,1.4,0.3,2.3,0.5,0.9,1.5,0.5,17.0,64.7,0.1,0.3,0.0
Jeremy Grimm,6.09,71,DMC,2,167,0,2,0,83.1,0.6,0,0.8,0.8,0.8,0.0,1.0,0.4,0.0,0,0,0.4,0.0,0.6,0.2,0.2,0.6,0.2,16.6,83.1,0.0,1.6,0.0
Juan Hernández,6.66,75,FW,25,2155,3,6,0,70.0,1.7,0,0.6,0.3,1.0,0.0,0.5,0.4,0.1,0,4,2.4,1.1,1.2,0.4,1.4,2.0,0.9,16.0,70.0,0.4,0.8,0.1
Yoann Gourcuff,6.08,74,M(CL),0,127,0,0,0,84.4,0.0,0,0.0,0.0,0.3,0.0,0.1,0.3,0.1,0,0,0.9,0.1,0.4,0.0,0.4,0.4,0.4,9.6,84.4,0.3,0.1,0.0
Ryad Boudebouz,6.66,80,"M(CLR), FW",8,720,2,2,1,83.2,0.7,0,1.3,0.3,0.5,0.0,0.6,0.5,0.1,0,1,1.0,1.2,0.8,0.0,1.3,1.5,1.5,31.5,83.2,1.0,2.0,0.0
Keagan Dolly,6.07,74,AM(CL),2,89,0,0,0,83.8,0.3,0,0.3,0.0,0.7,0.0,0.0,1.0,0.0,0,0,0.3,0.0,0.7,0.0,1.3,1.3,0.3,12.3,83.8,1.0,2.0,0.0
Nemanja Radonjic,6.07,73,AM(L),7,676,0,2,0,70.1,0.2,0,0.4,0.3,0.4,0.0,0.2,0.6,0.0,0,0,0.9,0.6,0.2,0.2,0.7,1.4,0.2,9.6,70.1,0.1,0.4,0.0
Yoann Andreu,6.05,71,D(LR),0,3,0,0,0,0.0,1.0,0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abel Ruiz,6.66,67,Forward,0,21,0,0,0,80.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,10.0,80.0,0.0,0.0,0.0
Moataz Zemzemi,6.02,62,Midfielder,0,2,0,0,0,50.0,0.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0,50.0,0.0,0.0,0.0
"Albert0,00Nicolas Lottin",6.0,69,"Midfielder, Midfielder",0,21,0,0,0,81.8,0.0,0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.5,81.8,0.0,1.0,0.0
Arton Zekaj,6.0,61,Midfielder,0,1,0,0,0,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0
Isco,6.66,88,"AM(CLR), FW",11,1188,2,3,0,88.6,0.3,0,1.1,0.2,0.7,0.0,0.1,0.7,0.0,0,3,0.9,1.3,1.3,0.1,1.1,0.9,1.0,34.4,88.6,0.3,1.5,0.1
Sanasi Sy,6.0,59,Defender,0,1,0,0,0,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0
Christian Benteke,6.66,76,FW,9,813,1,1,0,56.9,5.6,1,0.3,0.0,1.1,0.0,0.9,0.2,0.1,0,1,1.6,0.3,0.6,0.6,0.9,1.7,0.6,14.9,56.9,0.0,0.4,0.0
Marek Hamsik,6.66,87,"M(C), FW",12,922,0,1,0,88.4,0.6,0,0.5,0.9,0.4,0.1,1.0,0.8,0.1,0,0,1.2,0.5,0.2,0.0,0.5,0.4,1.2,65.2,88.4,0.0,5.0,0.0
Aly Ndom,5.99,65,M(C),1,46,0,1,0,80.0,0.0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,10.0,80.0,0.0,0.0,0.0
Christopher Rocchia,5.99,62,Defender,0,2,0,0,0,100.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,100.0,0.0,0.0,0.0
Harrison Manzala,5.98,73,AM(L),0,66,0,0,0,58.3,0.3,0,0.3,0.0,0.1,0.0,0.1,0.0,0.0,0,0,0.3,0.0,0.4,0.1,0.1,0.3,0.0,3.0,58.3,0.0,0.0,0.0
Yann Bodiger,5.97,71,DMC,0,12,0,0,0,69.2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,69.2,0.0,0.0,0.0
Gonçalo Paciência,6.67,75,FW,4,388,1,1,0,61.3,1.6,1,0.3,0.0,1.5,0.0,0.1,0.1,0.1,0,3,1.7,0.5,1.0,0.2,1.1,1.4,0.4,8.5,61.3,0.1,0.3,0.1
Nicolas Janvier,5.91,60,Midfielder,0,2,0,0,0,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0
Oumar Solet,5.9,63,Defender,1,60,0,1,0,93.5,1.0,0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,93.5,0.0,0.0,0.0
Rayan Ait Nouri,5.87,61,Defender,0,55,0,1,0,84.8,0.0,0,0.7,0.0,0.3,0.0,0.3,0.3,0.0,0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,11.0,84.8,0.0,0.0,0.0
Chris Wood,6.67,77,FW,29,2596,2,2,0,64.8,3.5,2,0.3,0.1,0.7,0.0,0.7,0.3,0.1,0,10,1.6,0.2,0.6,1.4,1.2,2.4,0.6,15.8,64.8,0.1,0.1,0.1
Seydou Sy,5.71,59,GK,2,220,0,0,0,74.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,74.0,0.0,2.7,0.0
Vedad Ibisevic,6.68,77,FW,25,1826,2,5,1,72.2,2.4,1,0.4,0.1,1.3,0.0,0.7,0.3,0.1,1,10,1.8,0.5,0.5,0.9,0.9,2.4,0.6,14.9,72.2,0.0,0.6,0.1
Daniel Ginczek,6.68,77,FW,12,1275,2,4,0,58.7,1.1,3,0.4,0.1,0.6,0.0,0.8,0.6,0.1,0,6,1.5,0.6,0.6,0.2,1.0,1.8,0.5,13.9,58.7,0.3,0.7,0.0
Rouwen Hennings,6.68,73,FW,19,1832,4,3,0,66.4,1.9,0,0.5,0.1,0.8,0.0,0.7,0.4,0.0,0,7,2.0,0.1,0.8,0.2,0.4,1.2,1.0,15.3,66.4,0.0,0.5,0.1
Chimy Avila,6.68,70,"AM(LR), FW",20,1995,2,10,1,54.3,2.1,2,0.5,0.4,1.1,0.0,0.6,0.6,0.1,0,10,2.6,0.6,1.4,0.3,0.8,1.5,0.6,15.4,54.3,0.2,1.4,0.0
Virgil van Dijk,7.44,86,D(C),38,3385,2,1,0,89.7,4.8,4,1.0,1.1,0.3,1.1,5.2,0.0,0.5,0,4,0.8,0.2,0.6,0.0,0.0,0.2,0.2,79.9,89.7,0.0,5.3,0.0
Ángel Correa,6.68,79,"AM(LR), FW",20,1922,2,7,1,75.6,0.3,1,1.1,0.5,1.1,0.0,0.5,1.2,0.1,0,3,0.9,1.8,1.0,0.3,1.7,1.8,1.1,19.8,75.6,0.1,0.6,0.2
Federico Bernardeschi,6.68,82,"M(CLR), FW",14,1476,3,5,1,83.1,0.3,0,0.5,0.2,0.7,0.0,0.3,0.4,0.0,0,2,1.9,0.8,1.1,0.3,0.6,1.0,1.2,22.1,83.1,0.9,1.5,0.1
"Trent Alexander0,00Arnold",7.36,78,"D(R), M(R)",27,2467,12,3,0,77.5,0.3,1,2.1,1.2,0.5,0.3,2.1,1.1,0.1,0,1,1.0,0.5,0.2,0.1,0.5,1.4,1.7,58.5,77.5,2.0,4.0,0.1
Lucas Digne,7.36,80,D(L),33,2966,4,5,1,76.0,2.6,4,2.0,1.7,1.1,0.3,2.7,0.5,0.3,1,4,1.0,0.4,0.9,0.1,0.9,0.9,2.0,41.6,76.0,2.4,1.7,0.0
Ricardo Pereira,7.34,81,"D(LR), M(R)",35,3125,6,7,0,78.0,1.9,4,3.4,1.7,1.2,0.2,3.0,1.7,0.2,0,2,0.7,1.9,1.4,0.1,1.0,1.5,0.9,43.8,78.0,0.4,1.2,0.0
Paul Pogba,7.31,87,M(C),34,3012,9,6,0,82.8,1.7,7,1.3,0.5,1.5,0.0,1.0,0.7,0.3,0,13,3.0,1.7,2.0,0.1,2.5,2.1,1.6,59.1,82.8,0.1,4.7,0.2
Fernandinho,7.31,86,"D(R), DMC",27,2382,3,5,0,87.5,2.6,2,2.0,1.4,1.4,0.1,2.4,0.7,0.1,0,1,1.0,0.7,0.9,0.1,0.4,0.9,0.8,70.7,87.5,0.0,2.7,0.2
Fabian Schär,7.3,75,D(C),22,2004,1,12,0,68.1,2.7,6,2.5,2.8,1.2,0.4,5.7,1.1,0.7,0,4,1.0,0.6,0.8,0.0,0.4,0.5,0.5,41.4,68.1,0.1,5.6,0.0
Benjamin Mendy,7.29,81,"D(L), DMC, M(L)",10,900,5,1,0,88.3,0.8,0,1.6,1.0,1.2,0.4,1.6,0.8,0.4,0,0,0.7,0.9,0.2,0.0,1.1,0.9,1.2,65.0,88.3,1.1,1.8,0.0
"Aaron Wan0,00Bissaka",7.27,74,"D(R), D(R)",35,3135,3,4,1,73.0,1.2,3,3.7,2.4,0.7,0.3,3.7,0.3,0.5,0,0,0.3,1.7,0.5,0.1,1.1,1.2,0.4,33.3,73.0,0.3,1.0,0.0
David Silva,7.26,90,M(CLR),28,2412,8,3,0,87.8,0.6,1,0.9,0.7,0.8,0.0,0.4,0.6,0.0,0,6,1.5,0.9,0.8,0.2,0.9,0.8,2.2,61.1,87.8,0.5,1.2,0.2
Bernardo Silva,7.26,86,AM(CLR),31,2853,7,3,0,86.1,0.3,4,1.4,0.7,0.9,0.0,0.7,1.4,0.1,0,7,1.7,1.4,0.7,0.1,1.0,1.2,2.0,47.4,86.1,0.3,2.0,0.1
Leroy Sané,7.26,86,M(CLR),21,1867,10,1,0,84.4,0.3,1,0.8,0.3,0.3,0.0,0.1,0.7,0.1,0,10,1.8,1.8,0.5,0.6,1.4,2.3,1.3,27.3,84.4,0.5,0.1,0.1
Felipe Caicedo,6.68,77,FW,17,1378,2,4,0,75.6,0.9,1,0.6,0.2,1.0,0.0,0.2,0.3,0.1,0,8,1.5,0.6,0.9,0.3,0.8,1.0,0.7,12.6,75.6,0.0,0.2,0.1
Wilfred Ndidi,7.21,80,DMC,37,3299,0,8,0,79.9,3.4,3,3.8,2.2,1.2,0.1,2.1,1.3,0.2,0,2,1.4,0.9,0.6,0.1,0.9,1.5,0.6,52.2,79.9,0.0,2.4,0.1
Ádám Szalai,6.69,76,FW,15,1621,3,3,0,71.1,1.6,1,0.6,0.1,1.1,0.0,0.2,0.2,0.0,0,6,2.2,0.3,0.8,0.3,0.7,1.8,0.9,14.0,71.1,0.0,0.4,0.0
James Maddison,7.2,77,AM(CLR),35,2850,7,3,1,83.8,0.3,3,1.3,0.3,0.7,0.0,0.1,1.2,0.1,0,7,2.3,1.4,2.2,0.1,1.1,1.3,2.8,39.0,83.8,1.9,2.2,0.3
